% sku weight
1 2.04847207388304
2 2.2043715921251
3 2.34205038675203
4 2.44017834702515
5 2.44994155711026
6 2.51947930106869
7 2.55998129423707
8 2.56634720161853
9 2.60724492119963
10 2.61324779717869
11 2.63253444742064
12 2.75316348986382
13 2.75511959137168
14 2.78419004603484
15 2.91382908397998
16 3.07829021619553
17 3.1212295997521
18 3.14547400322998
19 3.29783598114636
20 3.32715012846848
21 3.32788843723381
22 3.37216353014678
23 3.37794790667386
24 3.45481855583136
25 3.50448997388803
26 3.53374818877026
27 3.54306022894711
28 3.58210242706449
29 3.62546997499907
30 3.64070890082079
31 3.67403953600397
32 3.75143770861972
33 3.88766004698708
34 3.88990776887625
35 3.89898776165163
36 4.04176288472571
37 4.11066056979385
38 4.16563412834221
39 4.21383229839328
40 4.28602704139707
41 4.30712074614462
42 4.53722418031526
43 4.54995049096176
44 4.68139919856628
45 4.68422774722996
46 4.70633321753998
47 4.74113195144624
48 4.78465684446723
49 4.92780831499389
50 4.94375124803919
51 5.16277350166942
52 5.29693874218359
53 5.31066725184706
54 5.48773651266831
55 5.53334981274481
56 5.61106011067101
57 5.64473477548209
58 5.84365837361834
59 5.88304086862274
60 5.89586232784012
61 5.91323141935898
62 5.96805184612426
63 5.98073519951698
64 6.03315475305224
65 6.03493512237209
66 6.22356085396538
67 6.35011763980152
68 6.35621557773846
69 6.35745961980776
70 6.40177820921027
71 6.65314192169027
72 6.70445434036872
73 6.73362388868519
74 6.74253749230063
75 6.7767363361906
76 6.79555041473152
77 6.85737129247625
78 6.88191630452961
79 6.89303803392362
80 6.93926358452964
81 6.94099847084889
82 6.97781904273565
83 7.0009814095688
84 7.08831069855406
85 7.22531759702848
86 7.23713782394172
87 7.30285996352456
88 7.32550773458812
89 7.43783826541055
90 7.48177557880142
91 7.5919843593575
92 7.59390057418211
93 7.63989350741724
94 7.65594840592516
95 7.6723222973162
96 7.69279360943138
97 7.76961632527859
98 7.77975896456268
99 7.83732348952318
100 7.93126267470944
