% time handles
0 0
10 0
20 0
30 0
40 0
50 0
60 0
70 0
80 0
90 0
100 0
110 0
120 0
130 0
140 0
150 0
160 0
170 0
180 0
190 0
200 0
210 0
220 0
230 0
240 0
250 0
260 0
270 0
280 0
290 0
300 0
310 0
320 0
330 0
340 0
350 0
360 0
370 0
380 0
390 0
400 0
410 0
420 0
430 0
440 0
450 0
460 0
470 0
480 0
490 0
500 0
510 0
520 0
530 0
540 0
550 0
560 0
570 0
580 0
590 0
600 0
610 0
620 0
630 0
640 0
650 0
660 0
670 0
680 0
690 0
700 0
710 0
720 0
730 0
740 0
750 0
760 0
770 0
780 0
790 0
800 0
810 0
820 0
830 0
840 0
850 0
860 0
870 0
880 0
890 0
900 0
910 0
920 0
930 0
940 0
950 0
960 0
970 0
980 0
990 0
1000 0
1010 0
1020 0
1030 0
1040 0
1050 0
1060 0
1070 0
1080 0
1090 0
1100 0
1110 0
1120 0
1130 0
1140 0
1150 0
1160 0
1170 0
1180 0
1190 0
1200 0
1210 0
1220 0
1230 0
1240 0
1250 0
1260 0
1270 0
1280 0
1290 0
1300 0
1310 0
1320 0
1330 0
1340 0
1350 0
1360 0
1370 0
1380 0
1390 0
1400 0
1410 0
1420 0
1430 0
1440 0
1450 0
1460 0
1470 0
1480 0
1490 0
1500 0
1510 0
1520 0
1530 0
1540 0
1550 0
1560 0
1570 0
1580 0
1590 0
1600 0
1610 0
1620 0
1630 0
1640 0
1650 0
1660 0
1670 0
1680 0
1690 0
1700 0
1710 0
1720 0
1730 0
1740 0
1750 0
1760 0
1770 0
1780 0
1790 0
1800 0
1810 0
1820 0
1830 0
1840 0
1850 0
1860 0
1870 0
1880 0
1890 0
1900 0
1910 0
1920 0
1930 0
1940 0
1950 0
1960 0
1970 0
1980 0
1990 0
2000 0
2010 0
2020 0
2030 0
2040 0
2050 0
2060 0
2070 0
2080 0
2090 0
2100 0
2110 0
2120 0
2130 0
2140 0
2150 0
2160 0
2170 0
2180 0
2190 0
2200 0
2210 0
2220 0
2230 0
2240 0
2250 0
2260 0
2270 0
2280 0
2290 0
2300 0
2310 0
2320 0
2330 0
2340 0
2350 0
2360 0
2370 0
2380 0
2390 0
2400 0
2410 0
2420 0
2430 0
2440 0
2450 0
2460 0
2470 0
2480 0
2490 0
2500 0
2510 0
2520 0
2530 0
2540 0
2550 0
2560 0
2570 0
2580 0
2590 0
2600 0
2610 0
2620 0
2630 0
2640 0
2650 0
2660 0
2670 0
2680 0
2690 0
2700 0
2710 0
2720 0
2730 0
2740 0
2750 0
2760 0
2770 0
2780 0
2790 0
2800 0
2810 0
2820 0
2830 0
2840 0
2850 0
2860 0
2870 0
2880 0
2890 0
2900 0
2910 0
2920 0
2930 0
2940 0
2950 0
2960 0
2970 0
2980 0
2990 0
3000 0
3010 0
3020 0
3030 0
3040 0
3050 0
3060 0
3070 0
3080 0
3090 0
3100 0
3110 0
3120 0
3130 0
3140 0
3150 0
3160 0
3170 0
3180 0
3190 0
3200 0
3210 0
3220 0
3230 0
3240 0
3250 0
3260 0
3270 0
3280 0
3290 0
3300 0
3310 0
3320 0
3330 0
3340 0
3350 0
3360 0
3370 0
3380 0
3390 0
3400 0
3410 0
3420 0
3430 0
3440 0
3450 0
3460 0
3470 0
3480 0
3490 0
3500 0
3510 0
3520 0
3530 0
3540 0
3550 0
3560 0
3570 0
3580 0
3590 0
3600 0
3610 0
3620 0
3630 0
3640 0
3650 0
3660 0
3670 0
3680 0
3690 0
