% sku bundlesize
1 4
2 4
3 4
4 4
5 4
6 4
7 4
8 4
9 4
10 4
11 5
12 5
13 5
14 5
15 5
16 5
17 5
18 5
19 5
20 5
21 5
22 5
23 5
24 5
25 6
26 6
27 6
28 6
29 6
30 6
31 6
32 6
33 6
34 6
35 6
36 6
37 6
38 7
39 7
40 7
41 7
42 7
43 7
44 7
45 7
46 8
47 8
48 8
49 8
50 8
51 8
52 8
53 8
54 8
55 8
56 8
57 8
58 8
59 8
60 8
61 8
62 9
63 9
64 9
65 9
66 9
67 9
68 9
69 10
70 10
71 10
72 10
73 10
74 10
75 10
76 10
77 11
78 11
79 11
80 11
81 11
82 11
83 11
84 12
85 12
86 12
87 12
88 12
89 12
90 12
91 12
92 12
93 12
94 12
95 12
96 12
97 12
98 12
99 12
100 12
