120,84
120,21
21,84
120,112
21,112
84,112
91,120
120,107
107,21
120,115
86,120
107,84
86,84
21,115
84,115
120,31
91,21
120,116
86,21
96,21
78,120
78,21
91,84
107,115
31,84
96,120
107,112
21,116
120,21,84
21,31
120,67
91,115
84,116
121,120
21,108
78,84
121,84
86,112
96,84
107,67
78,107
37,120
91,112
91,107
21,67
120,3
96,112
53,84
91,116
120,108
115,112
31,115
107,31
37,21
106,21
84,108
37,84
120,53
86,91
91,31
121,21
120,98
131,21
21,16
120,16
31,112
120,88
86,115
78,112
67,84
21,53
69,21
106,120
120,117
81,21
96,107
37,107
86,107
36,84
106,84
120,84,112
69,120
98,84
9,21
78,115
120,93
120,21,112
112,116
3,21
59,21
98,21
36,21
131,120
3,107
3,84
38,120
120,52
16,84
36,120
