# sku frequency
1 1
2 0.9505999770911
3 0.899650449801429
4 0.848364594741712
5 0.782154079077
6 0.775754304409084
7 0.76606690077024
8 0.725184447638326
9 0.704411053230326
10 0.67700818098528
11 0.598687848354515
12 0.580870476181844
13 0.546622717052369
14 0.540586503179869
15 0.528100645055536
16 0.50707563392757
17 0.503027463594952
18 0.490446073913271
19 0.468672736929021
20 0.424426371923159
21 0.420214194250991
22 0.419377218095388
23 0.407355849852106
24 0.36555403247971
25 0.35850253158421
26 0.330026456741602
27 0.302320186590339
28 0.299768477094694
29 0.297438501844532
30 0.288777519827315
31 0.273151015047216
32 0.266302943833119
33 0.264195304046361
34 0.261477961149399
35 0.2530204934888
36 0.24671376925528
37 0.22616105898579
38 0.190433562472812
39 0.178631252747711
40 0.175341943399262
41 0.173500646377407
42 0.170312658958632
43 0.165557845977455
44 0.160176852317146
45 0.151632507941172
46 0.144876757059007
47 0.136131611589069
48 0.135530611913531
49 0.127476940891822
50 0.126786206329388
51 0.124768199072731
52 0.124504381838464
53 0.124139790913861
54 0.124118904632504
55 0.123635584497909
56 0.123167090824849
57 0.117632056025623
58 0.11520171707828
59 0.109197054754227
60 0.107321468793916
61 0.107264193589122
62 0.106798194107141
63 0.10105952660043
64 0.100911384318446
65 0.099784346918939
66 0.0990231620210763
67 0.0939550320960014
68 0.0928018659605302
69 0.0925378248178597
70 0.0914898267402309
71 0.0907454369507899
72 0.0854243122572079
73 0.0848148611173819
74 0.0829513835888008
75 0.0788660598195876
76 0.0735292609888559
77 0.0704648768896416
78 0.0688365693124752
79 0.0679763696285497
80 0.0672757457978461
81 0.0637649885180265
82 0.0622553231212579
83 0.0620325577645869
84 0.0615224193242926
85 0.0587356665107029
86 0.0534544780537454
87 0.048337743843985
88 0.0457620723338971
89 0.0429879162290235
90 0.0429527947429787
91 0.0423635692432346
92 0.0410397363823333
93 0.0390677013053427
94 0.0364995063482706
95 0.0363605154530224
96 0.0354634171547037
97 0.0354476084999328
98 0.0343083328306808
99 0.0338042768208251
100 0.0332832598325882
101 0.0312091311439563
102 0.0303909319149351
103 0.0299412646444664
104 0.0283782669559108
105 0.0281516848325974
106 0.0274911620693381
107 0.0274116268192319
108 0.027165700195405
109 0.0263723832373646
110 0.0257842149078179
111 0.0245068411691958
112 0.023994721791706
113 0.0225850399708876
114 0.0221383484148629
115 0.0218272209309604
116 0.0215845335661281
117 0.0210388037322591
118 0.0201730530881952
119 0.0197031811866007
120 0.0184435375576998
121 0.0182804085528741
122 0.0176550057942867
123 0.0173278813437646
124 0.0165526158914823
125 0.0154548453904734
126 0.0147896108485351
127 0.0147320811888179
128 0.0146224138425549
129 0.014446554033307
130 0.0137139590286702
131 0.0136010304952261
132 0.0127874709593137
133 0.0125493499706316
134 0.0124990691545029
