# sku weight
1 2.00186871737329
2 2.04847207388304
3 2.08350680586114
4 2.08391541805301
5 2.2043715921251
6 2.29181937886952
7 2.34205038675203
8 2.4108113182759
9 2.44017834702515
10 2.44994155711026
11 2.50383607135333
12 2.51947930106869
13 2.55998129423707
14 2.56634720161853
15 2.60724492119963
16 2.61324779717869
17 2.62039473867994
18 2.63253444742064
19 2.73731905815067
20 2.75316348986382
21 2.75511959137168
22 2.78419004603484
23 2.91382908397998
24 2.91779659638079
25 2.95292309902279
26 2.98226165724092
27 3.07829021619553
28 3.1212295997521
29 3.14547400322998
30 3.19989080503578
31 3.29687849120092
32 3.29783598114636
33 3.32715012846848
34 3.32788843723381
35 3.37216353014678
36 3.37794790667386
37 3.45481855583136
38 3.46048931845487
39 3.47472419565298
40 3.50448997388803
41 3.53374818877026
42 3.54306022894711
43 3.58210242706449
44 3.60588582027978
45 3.62546997499907
46 3.64070890082079
47 3.67403953600397
48 3.75143770861972
49 3.75341722916505
50 3.88766004698708
51 3.88990776887625
52 3.89898776165163
53 4.04176288472571
54 4.11066056979385
55 4.16563412834221
56 4.1718343506436
57 4.21383229839328
58 4.28602704139707
59 4.30712074614462
60 4.35533146949268
61 4.4251535806922
62 4.53722418031526
63 4.54995049096176
64 4.68139919856628
65 4.68422774722996
66 4.70633321753998
67 4.74113195144624
68 4.78465684446723
69 4.78581429030086
70 4.92780831499389
71 4.94375124803919
72 5.16277350166942
73 5.29693874218359
74 5.31066725184706
75 5.40693623172442
76 5.43140802505957
77 5.48773651266831
78 5.53334981274481
79 5.61106011067101
80 5.64473477548209
81 5.64678107465002
82 5.72898478793399
83 5.84365837361834
84 5.88304086862274
85 5.89586232784012
86 5.91323141935898
87 5.96805184612426
88 5.98073519951698
89 6.03315475305224
90 6.03493512237209
91 6.22356085396538
92 6.27556415380703
93 6.31198170143738
94 6.35011763980152
95 6.35202993189545
96 6.35621557773846
97 6.35745961980776
98 6.40177820921027
99 6.43648635988891
100 6.51558620692957
101 6.65314192169027
102 6.70445434036872
103 6.73362388868519
104 6.74253749230063
105 6.75592868065272
106 6.7767363361906
107 6.79555041473152
108 6.85737129247625
109 6.87306890397941
110 6.88191630452961
111 6.89303803392362
112 6.93926358452964
113 6.94099847084889
114 6.97781904273565
115 7.0009814095688
116 7.02469230490955
117 7.08831069855406
118 7.16935331987653
119 7.22531759702848
120 7.23713782394172
121 7.30285996352456
122 7.32550773458812
123 7.43783826541055
124 7.48177557880142
125 7.5919843593575
126 7.59390057418211
127 7.63989350741724
128 7.65594840592516
129 7.6723222973162
130 7.69279360943138
131 7.76961632527859
132 7.77975896456268
133 7.83732348952318
134 7.93126267470944
