% sku probability
100 0.00062749891674506
99 0.00063002319733458
98 0.000641977740557385
97 0.000682821400287735
96 0.000688490825068878
95 0.000734098574300276
94 0.000742492474585066
93 0.00077588967795179
92 0.000869922922922788
91 0.00091774326734188
90 0.000989171649359938
89 0.0010127609347391
88 0.0010562247786947
87 0.00108362240929864
86 0.00109580620128007
85 0.00111142593717441
84 0.00120462265995786
83 0.00123033292290998
82 0.00129446174941345
81 0.00132398994748101
80 0.00137616377049095
79 0.00138015673050003
78 0.00142469263541285
77 0.00156681235564905
76 0.00167094119030211
75 0.00172240359825718
74 0.00177959939735972
73 0.00178039304956064
72 0.00183240851075842
71 0.0019613412763614
70 0.00206034463887572
69 0.00212680588298107
68 0.00215638715485321
67 0.00215815038171236
66 0.00311426093567779
65 0.0031254445700966
64 0.00337748812247798
63 0.0034126619973784
62 0.00345584716286357
61 0.0035375941496327
60 0.00369143742219793
59 0.0039593642128873
58 0.00416446238524284
57 0.0042580157623871
56 0.0042886124352531
55 0.00455575232701738
54 0.00459312341287476
53 0.00464573674354236
52 0.00465899257315285
51 0.0049713243548629
50 0.00500953861649689
49 0.00506612000976546
48 0.0053850542348954
47 0.00538792965933866
46 0.00548209092397439
45 0.00590555879147054
44 0.00618343775171369
43 0.00620695784498726
42 0.00623122228077447
41 0.00623227084837297
40 0.00626381923282387
39 0.00636513056664263
38 0.00680413166054831
37 0.00727334227791779
36 0.00804146293409639
35 0.00831160846662507
34 0.0087103660529127
33 0.00880280588761864
32 0.00896794122909704
31 0.00956046027799937
30 0.0123859321874386
29 0.012702552775406
28 0.0131271485376848
27 0.0133693802886994
26 0.0144976860782215
25 0.0149324990044141
24 0.0150494722707787
23 0.015177577406015
22 0.0165685333477781
21 0.0179981362962864
20 0.0183521473925255
19 0.0204507512801361
18 0.021054267866628
17 0.0210962871261817
16 0.0213077538277217
15 0.0235290829337442
14 0.0246221839641213
13 0.025253815671956
12 0.0254570486061143
11 0.0265125809457044
10 0.0271394166204898
9 0.029161819177709
8 0.0339882830428824
7 0.0353640073017786
6 0.0384593560084746
5 0.0389456990484486
4 0.0392669911080323
3 0.0425910007877269
2 0.0477235903337369
1 0.0502036518870685
